utterance,response,feedback,confidence
hello,"hello
Hey!",1,0.129790843
"What the changes made to the Married Women Property Ordinance. Specifically, discuss the impact of repealing sections of that Ordinance and how this amendment modifies the existing legal framework concerning the property rights of married women.","Here are the top 3 relevant laws based on your query:

> The Married Women Property Ordinance is hereby amended by the repeal of section 26 and section 27 of that Ordinance. 

> (1) No Bill for the amendment of any provision of the Constitution shall be placed on the Order Paper of Parliament, unless the provision to be repealed, altered or added, and consequential amendments, if any, are expressly specified in the Bill and is described in the long title thereof as being an Act for the amendment of the Constitution.
(2) No Bill for the repeal of the Constitution shall be placed on the Order Paper of Parliament unless the Bill contains provisions replacing the Constitution and is described in the long title thereof as being an Act for the repeal and replacement of the Constitution.
(3) If in the opinion of the Speaker, a Bill does not comply with the requirements of paragraph (1) or paragraph (2) of this Article, he shall direct that such Bill be not proceeded with unless it is amended so as to comply with those requirements.
(4) Notwithstanding anything in the preceding provisions of this Article, it shall be lawful for a Bill which complies with the requirements of paragraph (1) or paragraph (2) of this Article to be amended by Parliament provided that the Bill as so amended shall comply with those requirements.
(5) A Bill for the amendment of any provision of the Constitution or for the repeal and replacement of the Constitution, shall become law if the number of votes cast in favour thereof amounts to not less than two
thirds of the whole number of Members (including those not present) and upon a certificate by the President or the Speaker, as the case may be, being endorsed thereon in accordance with the provisions of Article 80 or 79.
(6) No provision in any law shall, or shall be deemed to, amend, repeal or replace the Constitution or any provision thereof, or be so interpreted or construed, unless enacted in accordance with the requirements of the preceding provisions of this Article.
(7) In this Chapter, “amendment” includes repeal, alteration and addition.
",1,0.543939246
"Who is entitled to receive a copy of the order of maintenance certified under the hand of the Magistrate without payment? Why is the person to whom the allowance is to be paid, and the Court making such order or any Magistrate having jurisdiction over the place where any such person or the respondent may be, shall, on the production of such order and on being satisfied as to the identity of the parties and the non-payment of the allowance due","Here are the top 3 relevant laws based on your query:

> A copy of the order of maintenance certified under the hand of the Magistrate shall be given without payment to the person in whose favour it is made, or to his or her guardian or a person having actual custody of such person, 
if any, or to the person to whom the allowance is to be paid, and the Court making such order or any Magistrate having jurisdiction over the place where any such person or the respondent may be, shall, on the production of such order and on being satisfied as to the identity of the parties and the non
payment of the allowance due, proceed under section 5 or section 6. 
Application for cancellation of order or alteration in amount of allowance. (Maintainance)

> (1) If on the application of a person entitled to receive any payment under an order of maintenance, it appears to the Magistrate that the respondent has defaulted in the payment of maintenance due for a period exceeding two months, the Magistrate may, after inquiry, by an order,(hereinafter referred ""to as an attachment of salary order) require the person to whom the order is directed, being a person appearing to the Magistrate to be the respondent's employer, to deduct, for such period as may be specified in the order, such amount from the respondent's salary as may be specified in the order and forthwith to remit that amount to the applicant in the manner directed by Court.
 (2) (a) Before an order is made under subsection (1) of this section, the Magistrate shall notice the person on whom he proposes to serve such order, to show cause, if any, why an order should not be made under that subsection, and to require him to furnish to the court, within such period as may bespecified in such order, the salary particulars of the respondent. Any order made under subsection (1) of this section may be the subject of an appeal to a High Court established by Artical 154P of the Constitution by any person aggrieved by such order, but notwithstanding such appeal, the Magistrate may decide to continue proceedings under this Act. The provisions of section 14 of this Act shall, apply to, and in relation to, every such appeal. 
(b) The Magistrate may also by an order served on the respondent, require him to furnish to the Court within such period as may be specified in such order,a statement specifying
(i) the name and address of his employer or employers as the case may be, if he has more than one employer; 
(ii)such particulars as to his salary, inclusive of deductions, as may be within his knowledge ; and (iii) any other particulars as are required or necessary to enable his employer or employers to identify him.
(3) A statement furnished in compliance with an order made under paragraph (b) of subsection (2) shall, in any proceedings any court, be received as evidence and be deemed to be prima facie  proof of the particulars referred to in the said paragraph, unless the contrary is shown.
(4) The Magistrate shall not make an attachment of salary order, if it appears to him, that the failure of the respondent tomake any payment in accordance with the order of maintenance in question, was not due to his wilful refusal or culpable neglect.
(5) In determining the amount to be deducted from the respondent's salary in terms of subsection (1) of this section,the Magistrate shall have regard to the resources and needs of the respondent, and the needs of the person, the payment of whose maintenance is in default.
(6) An attachment of salary order shall not come into force until the expiration of fourteen days from the date on which a copy of the order is served on the person to whom the order is directed.
(7) An attachment of salary order may on the application of the respondent or the person entitled to receive payment under the order of maintenance, be discharged or varied.
(8) A person to whom an attachment of salary order is directed shall subject to the provisions of this Act, comply with the order or, if the order is subsequently varied under subsection (7), with the order as varied.
(9) Where, on any occasion on which any deductions have to be made from the salary of a respondent in pursuance of an attachment of salary order, there are in force, two or more orders for attachment of salary, relating to such salary, made under this Act or other written law, then , for the purposes of complying with this section, the employer shall, not withstanding anything to the contrary in any other written law, first give effect to an order of attachment made under this Act and deal with any other order in respect of the residue of the respondent's salary according to the respective dates on which they came into force.
(10)An employer who in pursuance of an attachment of salary order makes any payment shall forthwith give to the respondent a statement in writing specifying the amount deducted from his salary in pursuance of such order.
(11)Any employer who fails or neglects to comply with an attachment of salary order shall be liable on conviction by a Magistrate's Court to a fine not exceeding five hundred rupees and in the case of a second or subsequent conviction in respect of the same attachment of salary order, to a fine not exceeding one thousand rupees : Provided however, it shall be a defence for an employer charged with failing or neglecting to comply with an attachment of salary order, to prove that he took all reasonable steps to comply with such order.
(12)The provisions of this section shall, notwithstanding anything to the contrary in any other written law, have effect in relation to an attachment of salary that may be made by a Magistrate under this Act.
(13)For the purposes of this section ",1,0.70669961
"What are the requirements for submitting an application for an order of maintenance or to enforce such an order? Explain the necessary characteristics of the written application, including the signature and absence of stamp duty. Additionally, clarify the stipulations regarding summonses to a respondent or witness, emphasizing the exemption from stamp duty.","Here are the top 3 relevant laws based on your query:

> 10.Every application for an order of maintenance or to enforce such an order, shall be in writing and shall be signed by the applicant or the person making the application on his behalf and shall be free of any stamp duty. Every summons to a respondent or a witness shall also be free of stamp duty. (Maintainance)

> (1) Every application for an order of maintenance or to enforce an order of maintenance shall be supported by an affidavit stating the facts in support of the application, and the Magistrate shall, if satisfied that the facts set out in the affidavit are sufficient, issue a summons together with a copy of such affidavit, on the person against whom the appication is made to appear and to show cause why the application should not be granted 
Provided however the Magistrate may in his discretion at any time make an interim order for the payment of monthly allowance which shall remain operative until an order on the application is made, unless such interim order is earlier varied or revoked, and such interim order shall have effect from the date of the application or from such later date as the Magistrate may fix.
(2) The Magistrate shall, after such inquiry as he may consider necessary, make order allowing or refusing the application, and if necessary, may make an order under section 5 or section 6 
Provided however, and application under this Act shall not be rejected on account of any error, omission or irregularity in the application, or affidavit required to be field in terms of subsection (1) of this section, or in the summons issued therunder, or in other proceedings before, or during, an inquiry under this Act, unless such error, omission or irregularity has caused material prejudice to a party. (Maintainance)

> (1) If on the application of a person entitled to receive any payment under an order of maintenance, it appears to the Magistrate that the respondent has defaulted in the payment of maintenance due for a period exceeding two months, the Magistrate may, after inquiry, by an order,(hereinafter referred ""to as an attachment of salary order) require the person to whom the order is directed, being a person appearing to the Magistrate to be the respondent's employer, to deduct, for such period as may be specified in the order, such amount from the respondent's salary as may be specified in the order and forthwith to remit that amount to the applicant in the manner directed by Court.
 (2) (a) Before an order is made under subsection (1) of this section, the Magistrate shall notice the person on whom he proposes to serve such order, to show cause, if any, why an order should not be made under that subsection, and to require him to furnish to the court, within such period as may bespecified in such order, the salary particulars of the respondent. Any order made under subsection (1) of this section may be the subject of an appeal to a High Court established by Artical 154P of the Constitution by any person aggrieved by such order, but notwithstanding such appeal, the Magistrate may decide to continue proceedings under this Act. The provisions of section 14 of this Act shall, apply to, and in relation to, every such appeal. 
(b) The Magistrate may also by an order served on the respondent, require him to furnish to the Court within such period as may be specified in such order,a statement specifying
(i) the name and address of his employer or employers as the case may be, if he has more than one employer; 
(ii)such particulars as to his salary, inclusive of deductions, as may be within his knowledge ; and (iii) any other particulars as are required or necessary to enable his employer or employers to identify him.
(3) A statement furnished in compliance with an order made under paragraph (b) of subsection (2) shall, in any proceedings any court, be received as evidence and be deemed to be prima facie  proof of the particulars referred to in the said paragraph, unless the contrary is shown.
(4) The Magistrate shall not make an attachment of salary order, if it appears to him, that the failure of the respondent tomake any payment in accordance with the order of maintenance in question, was not due to his wilful refusal or culpable neglect.
(5) In determining the amount to be deducted from the respondent's salary in terms of subsection (1) of this section,the Magistrate shall have regard to the resources and needs of the respondent, and the needs of the person, the payment of whose maintenance is in default.
(6) An attachment of salary order shall not come into force until the expiration of fourteen days from the date on which a copy of the order is served on the person to whom the order is directed.
(7) An attachment of salary order may on the application of the respondent or the person entitled to receive payment under the order of maintenance, be discharged or varied.
(8) A person to whom an attachment of salary order is directed shall subject to the provisions of this Act, comply with the order or, if the order is subsequently varied under subsection (7), with the order as varied.
(9) Where, on any occasion on which any deductions have to be made from the salary of a respondent in pursuance of an attachment of salary order, there are in force, two or more orders for attachment of salary, relating to such salary, made under this Act or other written law, then , for the purposes of complying with this section, the employer shall, not withstanding anything to the contrary in any other written law, first give effect to an order of attachment made under this Act and deal with any other order in respect of the residue of the respondent's salary according to the respective dates on which they came into force.
(10)An employer who in pursuance of an attachment of salary order makes any payment shall forthwith give to the respondent a statement in writing specifying the amount deducted from his salary in pursuance of such order.
(11)Any employer who fails or neglects to comply with an attachment of salary order shall be liable on conviction by a Magistrate's Court to a fine not exceeding five hundred rupees and in the case of a second or subsequent conviction in respect of the same attachment of salary order, to a fine not exceeding one thousand rupees : Provided however, it shall be a defence for an employer charged with failing or neglecting to comply with an attachment of salary order, to prove that he took all reasonable steps to comply with such order.
(12)The provisions of this section shall, notwithstanding anything to the contrary in any other written law, have effect in relation to an attachment of salary that may be made by a Magistrate under this Act.
(13)For the purposes of this section ",1,0.635630574
"How does the provision allowing victims of crime to request and receive counseling or rehabilitation services from the State, including through community-based organizations, contribute to a more comprehensive and victim-centered approach within the criminal justice system?","Here are the top 3 relevant laws based on your query:

> A victim of crime shall be entitled to request and receive necessary counseling or rehabilitation services from the State, through any means including through community
based organizations.

> (1) A request for any medical treatment, services, facilities or assistance under subsection (2) or (3) may be made to theAuthority in such manner as may be prescribed and the Authority shall proceed with such request and cause appropriate treatment, services, facilities or assistance to be provided to such victim of crime in an expeditious manner.
(2) A victim of crime shall be entitled to request and receive from the State any medical treatment including appropriate medical services, medicines and other medical facilities, or psychological or social assistance in respect of any harm suffered by him as a result of being a victim of crime.
(3) A victim of crime shall be entitled to request and receive necessary counseling or rehabilitation services from the State, through any means including through community",1,0.532777032
hey,"hey
Hey!",0,0.183450788
"What could be the nature of protection that may be sought by a victim of crime or witness? Explain the various provisions, including security for the person or property, temporary accommodation, temporary relocation, conducting proceedings in camera, concealing identity of the victim of the crime or the witness, special measures for child victims, and prevention of harassment or media disclosure. Additionally, discuss the role of the Authority or Protection Division in seeking assistance from public authorities or officers for implementing these protective measures and the obligation of such authorities or officers to comply with the requests unless justified by stated reasons.","Here are the top 3 relevant laws based on your query:

> (1) Nature of protection that may be sought by a victim of crime or witness
 The nature of protection that may be provided to any victim of crime or witness under this Part of this Act may include 

 (a) the providing of security to the person or property;
 (b) the provision of temporary accommodation including facilities for sustenance;
 (c) the permanent or temporary re
location with the consent of the victim of crime or witness, as the case may be;
 (d) the conducting of either the entirety or part of the proceedings in camera;
 (e) the concealing of the identity of the victim of crime or witness;
 (f) in the case of a child victim of crime or witness, the adoption of special measures to ensure his best interest and to protect his rights including the right to education;
 (g) the adoption of necessary measures to prevent the victim of crime or witness from being harassed, intimidated, coerced, or influenced by encountering the presence of the accused at the venue of the trial, investigation or inquiry;
 (h) the prevention of the disclosure, including in the print media or electronic media, of the identity and background information of the victim of crime or witness;
 (i) the adoption of appropriate measures to prevent the disclosure of evidence that may be provided by the victim of crime or witness, save as permitted in law for the purposes of pre",-1,0.637831727
"	How are the members of the Board compensated for their services, and who determines the remuneration rates?","Here are the top 3 relevant laws based on your query:

> The members of the Board may be paid such remuneration out of the Fund of the Authority, at such rates as may be determined by the President in consultation with the Minister assigned the subject of Finance.

> (1) The Chairman of the Board shall, if present, preside at every meeting of the Board. In the absence of the Chairman from any such meeting, the members present shall elect one of the members present to preside at such a meeting.
(2) The quorum for any meeting of the Board shall be five members.
(3) The Chairman or the member presiding at any meeting of the Board may regulate the procedure regarding its meetings and the transaction of business at such meetings.
(4) All matters for decision by the Board shall be dealt with at a meeting of the Board and shall be determined by the majority of the members present and voting.
(5) In the event of an equality of votes on any matter considered at a meeting of the Board, the Chairman or the member presiding at such a meeting shall have a casting vote in addition to his original vote.
(6) Subject to the preceding provisions of this section, the Board may regulate the procedure regarding its meetings and the transaction of business at such meetings.

> (1) A member of the Advisory Board may, at any time, resign from his office by letter to that effect addressed to the Minister, and such resignation shall take effect upon being accepted in writing by the Minister. 
(2) The Minister may, for reasons assigned, by Order published in the Gazette, remove a member of the Advisory Board from office in consultation with any person who nominated such member to the Advisory Board under subsection (2) of section 74 of this Act if he is found guilty of:
   (a) misconduct in the performance of his duties; or
   (b) an offence involving fraud or dishonesty.
(3) A member of the Advisory Board who is removed from office under subsection (2) shall cease to hold office from and after the date of publication of such Order in the Gazette.
(4) In the event of any member of the Advisory Board vacating office by death, resignation, or removal from office, the Minister shall, having regard to the provisions of subsection (2) of section 74, appoint another person to succeed such member.
(5) The member appointed under subsection (4) shall hold office for the unexpired period of the term of office of the member whom he succeeds.
(6) Where any member of the Advisory Board, by reason of illness, infirmity, or absence from Sri Lanka for a period of not less than three months, is temporarily unable to perform the duties of the office, such member shall inform the Minister in writing of such inability. Thereupon, the Minister may, having regard to the provisions of subsection (2) of section 74, appoint another person to act in his place for such a period.",-1,0.434963538
"How does the law address the validity of acts, decisions, or proceedings of the Board in the presence of vacancies or defects in the appointment of its members?","Here are the top 3 relevant laws based on your query:

> No act, decision, or proceeding of the Advisory Board shall be deemed to be invalid by reason only of the existence of any vacancy therein or any defect in the appointment of any of its members.

> No act, decision, or proceeding of the Board shall be deemed to be invalid by reason only of the existence of any vacancy therein or any defect in the appointment of any member thereof.

> (1) A member of the Advisory Board may, at any time, resign from his office by letter to that effect addressed to the Minister, and such resignation shall take effect upon being accepted in writing by the Minister. 
(2) The Minister may, for reasons assigned, by Order published in the Gazette, remove a member of the Advisory Board from office in consultation with any person who nominated such member to the Advisory Board under subsection (2) of section 74 of this Act if he is found guilty of:
   (a) misconduct in the performance of his duties; or
   (b) an offence involving fraud or dishonesty.
(3) A member of the Advisory Board who is removed from office under subsection (2) shall cease to hold office from and after the date of publication of such Order in the Gazette.
(4) In the event of any member of the Advisory Board vacating office by death, resignation, or removal from office, the Minister shall, having regard to the provisions of subsection (2) of section 74, appoint another person to succeed such member.
(5) The member appointed under subsection (4) shall hold office for the unexpired period of the term of office of the member whom he succeeds.
(6) Where any member of the Advisory Board, by reason of illness, infirmity, or absence from Sri Lanka for a period of not less than three months, is temporarily unable to perform the duties of the office, such member shall inform the Minister in writing of such inability. Thereupon, the Minister may, having regard to the provisions of subsection (2) of section 74, appoint another person to act in his place for such a period.",-1,0.512775804
"How does the law address the validity of acts, decisions, or proceedings of the Board in the presence of vacancies or defects in the appointment of its members?","Here  relevant laws based on your query:

-> (1) The Council shall meet at least twice every month, and as often as may be necessary to discharge the functions assigned to the Council by the provisions of this Chapter or by any law, and such meetings shall be summoned by the Secretary-General to the Council on the direction of the Chairman of the Council.(2) The Chairman shall preside at all meetings of the Council and in the absence of the Chairman, the Prime Minister, and in the absence of the Prime Minister, the Leader of the Opposition shall preside at the meetings of the Council.
(3) The quorum for any meeting of the Council shall be five members.
(4) The Council shall endeavour to make every recommendation, approval or decision it is required to make by unanimous decision and in the absence of a unanimous decision, no recommendation, approval or decision made by the Council shall be valid, unless supported by not less than five members of the Council present at such meeting.
(5) The Chairman or the other member presiding shall not have an original vote, but in the event of an equality of votes on any question for decision at any meeting of the Council, the Chairman or other member presiding at such meeting, shall have a casting vote.
(6) The Procedure in regard to meetings of the Council and the transaction of business at such meetings shall be determined by the Council, including procedures to be followed in regard to the recommendation or approval of persons suitable for any appointment under Article 41B or Article 41C. 
(7) Any member of the Council appointed under sub-paragraphs (d), (e), or (f) of paragraph (1) of Article 41A, who without obtaining prior leave of the Council absents himself from three consecutive meetings of the Council, shall be deemed to have vacated office with effect from the date of the third of such meetings.
(8) The Council shall have the power to act notwithstanding the fact that it has not been fully constituted or that there is a vacancy in its membership. No act, proceeding or decision of the Council carried out or made by the majority vote of the members shall be or deemed to be invalid by reason only of the fact that the Council has not been fully constituted or that there has been a vacancy in its membership or that there has been any defect in the appointment of a member.
-> (1) There shall be a Director-General of the Authority (in this Act referred to as the ""Director-General"") who shall be a person with professional qualifications in the field of Law, Administration, or Criminology with at least fifteen years of experience in any of such fields.'
(2) The Director-General shall be appointed by the Board and shall be the Chief Executive Officer of the Authority.
(3) The Director-General shall, subject to the general or special directions and supervision of the Board-
(a) be charged with the administration and management of the affairs of the Authority, including the administration and control of the staff; and
(b) be responsible for the performance and discharge of all such duties and functions assigned to him by the Board.
(4) (a) The Board may, in writing and subject to such conditions as may be specified therein, delegate to the Director-General any of the powers, duties, or functions of the Authority, and the Director-General shall exercise, perform or discharge such powers, duties, or functions in the name and on behalf of the Authority.
(b) The Board may, notwithstanding any delegation made under paragraph (a), by itself exercise, perform or discharge any powers, duties, or functions so delegated and may at any time revoke such delegation.
(5) The Director-General may, with the written approval of the Board, whenever he considers it necessary to do so, delegate in writing to any officer of the Authority any of his powers, duties, or functions, and such officer shall exercise, perform or discharge such powers, duties, or functions subject to the general or special direction of the Director-General.
(6) The term of office of the Director-General shall be three years from the date of appointment and he shall, unless removed from office under subsection (7), be eligible for re-appointment.
(7) The Board may, with reasons assigned therefore, remove the Director-General from office, if the Director-General-
(a) becomes permanently incapable of performing his duties;
(b) commits any act which, in the opinion of the Board, is of a fraudulent or illegal character or is prejudicial to the interests of the Authority; or
(c) fails to comply with any direction issued by the Board.
(8) The office of the Director-General shall become vacant upon the death, removal from office under subsection (7) or resignation by letter in that behalf addressed to the Board by the holder of that office.
(9) Where the office of the Director-General becomes vacant, the Board shall appoint another person to such office, having regard to the provisions of subsection (1).
(10) A member of the Board shall not be eligible to be appointed, whether permanently or temporarily, as the Director-General.
-> (1) The Chairman of the Advisory Board shall, if present, preside at every meeting of the Advisory Board. In the absence of the Chairman from any such meeting, the members present shall elect one of the members present to preside at such meeting.
(2) The quorum for any meeting of the Advisory Board shall be three members.
(3) The Chairman or the member presiding at any meeting of the Advisory Board may regulate the procedure regarding its meetings and the transaction of business at such meetings.
(4) All matters for decision by the Advisory Board shall be dealt with at a meeting of the Advisory Board and determined by the majority of the members present and voting.
(5) In the event of an equality of votes on any matter considered at a meeting of the Advisory Board, the Chairman or the member presiding at such meeting shall have a casting vote in addition to their original vote.
(6) Subject to the preceding provisions of this section, the Advisory Board may regulate the procedure regarding its meetings and the transaction of business at such meetings.
",1,0
"How is the position of the Director-General established, and what are the key qualifications, responsibilities, and conditions related to their appointment, term of office, delegation of powers, removal, and potential re-appointment within the National Authority for the Protection of Victims of Crime and Witnesses?","Here are the top 3 relevant laws based on your query:

> (1) Nature of protection that may be sought by a victim of crime or witness
 The nature of protection that may be provided to any victim of crime or witness under this Part of this Act may include 

 (a) the providing of security to the person or property;
 (b) the provision of temporary accommodation including facilities for sustenance;
 (c) the permanent or temporary re
location with the consent of the victim of crime or witness, as the case may be;
 (d) the conducting of either the entirety or part of the proceedings in camera;
 (e) the concealing of the identity of the victim of crime or witness;
 (f) in the case of a child victim of crime or witness, the adoption of special measures to ensure his best interest and to protect his rights including the right to education;
 (g) the adoption of necessary measures to prevent the victim of crime or witness from being harassed, intimidated, coerced, or influenced by encountering the presence of the accused at the venue of the trial, investigation or inquiry;
 (h) the prevention of the disclosure, including in the print media or electronic media, of the identity and background information of the victim of crime or witness;
 (i) the adoption of appropriate measures to prevent the disclosure of evidence that may be provided by the victim of crime or witness, save as permitted in law for the purposes of pre",-1,0.455202323
"How is the position of the Director-General established, and what are the key qualifications, responsibilities, and conditions related to their appointment, term of office, delegation of powers, removal, and potential re-appointment within the National Authority for the Protection of Victims of Crime and Witnesses?","Here are the top 3 relevant laws based on your query:

-> Right of a victim of crime to receive information on assistance, protection and remedies available to him
 A victim of crime shall have the right, upon a request made by such victim of crime, to be informed-
 (a) by the Authority or the Protection Division or any law enforcement authority-
 (i) of the measures of protection available to such victim of crime under this Act;
 (ii) of the legal remedies including delictual remedies available for the redress of any injury which such victim of crime has suffered; and
 (iii) of the time periods within which legal action shall be instituted to obtain legal remedies; and
 (b) by the Authority or the Protection Division, of the medical services, social services and other assistance available for the treatment of any harm caused to such victim of crime and the availability of any facilities to assist such victim of crime.
-> (1) The powers, duties, and functions of the Protection Division shall be:
(a) to investigate or inquire into complaints received by the Protection Division or referred to the Protection Division by the Authority, any court, Commission, or law enforcement authority under the provisions of this Act;
(b) to provide assistance and protection to victims of crime and witnesses;
(c) to lay down conditions for admitting a victim of crime or witness into a specific program referred to in section 59;
(d) in the case of an imminent threat to any victim of crime or witness, provide immediate protection to such victim of crime or witness;
(e) to provide necessary guidance and advice, on request by a police station, regarding the conduct of an investigation or inquiry into an offense under this Act by such police station;
(f) on receipt of a direction issued by the Authority based on the gravity and seriousness of the circumstances, to take over any investigation or inquiry into any offense under this Act against any victim of crime or witness; and
(g) where the Protection Division is of the opinion that the gravity and seriousness of any alleged offense under this Act warrant its intervention in the conduct of the investigation or inquiry into such offense, to take over such investigation or inquiry, with the concurrence of the Authority.
(2) The officers attached to the Protection Division shall maintain confidentiality with regard to matters relating to victims of crime and witnesses and shall not share any information on such matters except as required by law.
-> Special measures for vulnerable victims of crime or witnesses
 (1) Not withstanding anything to the contrary in any other written law, a court or Commission may, on application made by or on behalf of any vulnerable victim of crime or witness, order the Authority or the Protection Division the grant of any special measures for the protection of such victim of crime or witness, as may be prescribed.
 (2) The Minister shall, when prescribing special measures for the purposes of  subsection (1), seek recommendations of the Authority.
 (3)  The court or Commission, in ordering the grant of any special measures under subsection (1), shall ensure that the principles of fair trial are upheld in its proceedings.
 (4)  In determining the vulnerability of a victim of crime 'or witness, the following factors may also be considered -
 (a) the nature of the offence alleged to have been committed and the attendant circumstances;
 (b) the nature of the evidence or statement the witness is expected to give or make;
 (c) any relationship between the victim of crime or witness and the accused;
 (d) the age and level of understanding of the victim of crime or witness;
 (e) the accused's behavior or attitudes towards the victim of crime or witness including the accused's behavior or attitudes towards the family membersor associates of, or any other person having a close kinship to, the victim of crime or witness; and
 (f) any other relevant matter including the racial, social and cultural background of the victim of crime or witness, the gender including transgender, sexualorientation, possibility of being subject to social marginalization, domestic or employment circumstances, religious or political beliefs, and any physical disability or impairment the victim of crimeor witness suffers from.
 (5)  Not withstanding anything to the contrary in any other law, a court or Commission may-
 (a) in proceedings relation to sexual offences or violence, permit a child victim of crime or childwitness to give evidence or make a statement through contemporaneous audio-visual linkage from a remote location, without requiring hispersonal attendance before such court orCommission; or
 (b) on being satisfied that any vulnerable victim of crime or witness is unable to understand the nature of an oath or an affirmation, permit such victim of crime or witness to give evidence or make a statement without an oath or an affirmation being administered, and such victim of crime or witness shall be informed that he is bound to state the truthon all matters to which his evidence or statement relates.
",1,0
