Key,Law,Domain,Law_Summary,,,,,,,,,,,,,,,,,,,,,,
11,"(1) Every application for an order of maintenance or to enforce an order of maintenance shall be supported by an affidavit stating the facts in support of the application, and the Magistrate shall, if satisfied that the facts set out in the affidavit are sufficient, issue a summons together with a copy of such affidavit, on the person against whom the application is made to appear and to show cause why the application should not be granted
Provided however the Magistrate may in his discretion at any time make an interim order for the payment of monthly allowance which shall remain operative until an order on the application is made, unless such interim order is earlier varied or revoked, and such interim order shall have effect from the date of the application or from such later date as the Magistrate may fix.
(2) The Magistrate shall, after such inquiry as he may consider necessary, make order allowing or refusing the application, and if necessary, may make an order under section 5 or section 6
Provided however, and application under Maintenance Act shall not be rejected on account of any error, omission or irregularity in the application, or affidavit required to be field in terms of subsection (1) of this section, or in the summons issued thereunder, or in other proceedings before, or during, an inquiry under Maintenance Act, unless such error, omission or irregularity has caused material prejudice to a party.",Maintenance,"The process for applications related to maintenance orders. It mandates that every application or enforcement order must be accompanied by an affidavit stating the relevant facts. The Magistrate, upon satisfaction with the provided facts, issues a summons to the person against whom the application is made. The Magistrate has the discretion to issue an interim order for a monthly allowance, effective until a final order is made or until earlier varied or revoked. After an inquiry, the Magistrate decides to allow or refuse the application and may issue additional orders if necessary. Importantly, the law emphasizes that an application shall not be rejected due to errors or irregularities unless they result in material prejudice to a party.",,,,,,,,,,,,,,,,,,,,,,
12,"(1) The Magistrate may proceed in the manner provided in Chapter V and VI of the Code of Criminal Procedure Act, No, 15 of 1979 to compel the attendance of the person against whom the application is made and of any person required by the applicant or the person against whom the application is made or by the Magistrate to give evidence, and the production of any document necessary, for the purposes of the inquiry.
(2) When the person against whom the application is made is absent, the provisions of section 192 of the Code of Criminal Procedure Act, No. 15 of 1979 shall apply.",Maintenance,"The law empowers the Magistrate to employ the procedures outlined in Chapter V and VI of the Code of Criminal Procedure Act, No. 15 of 1979. These procedures are to ensure the attendance of the person against whom the maintenance application is made, as well as any individuals required to provide evidence or produce essential documents for the inquiry. Additionally, when the person subject to the application is absent, the provisions of section 192 of the Code of Criminal Procedure Act, No. 15 of 1979 apply.",,,,,,,,,,,,,,,,,,,,,,
13,"All evidence taken by a Magistrate under Maintenance Act shall be taken in the presence of the person against whom the application is made or, when his personal attendance is not required by the Magistrate, in the presence of his attorney-at-law, if any, and shall be recorded in the manner prescribed for trials in the Magistrates Court.
Provided however, it shall not be necessary to frame a charge or to record the statement of the person against whom the application is made in the manner prescribed in the Code of Criminal Procedure Act, No.15 of 1979.
Provided further, that in any proceedings under Maintenance Act it shall be competent for the person against whom the application is made to give evidence upon oath or affirmation as an ordinary witness, and each spouse shall be a competent witness against the other spouse.",Maintenance,"Under this law, all evidence collected by a Magistrate in proceedings related to maintenance orders must be taken in the presence of the person against whom the application is made. If the personal attendance of that person is not required, their attorney-at-law, if any, may be present. The evidence shall be recorded following the prescribed procedures for trials in the Magistrates Court. Notably, there is no requirement to frame a charge or record the statement of the person against whom the application is made as per the Code of Criminal Procedure Act, No. 15 of 1979.Moreover, in proceedings under this Act, the person against whom the application is made has the right to give evidence upon oath or affirmation as a witness. Importantly, each spouse is considered a competent witness against the other spouse in these proceedings.",,,,,,,,,,,,,,,,,,,,,,
14,"(1) Any person who shall be dissatisfied with any order made by a Magistrate under section 2 or section 11 may prefer an appeal to the relevant High Court established by Article 154P of the Constitution in like manner as if the order was a final order pronounced by Magistrate's Court in a criminal case or matter, and sections 320 to 330 (both inclusive) and sections 357 and 358 of the Code of Criminal Procedure Act, No, 15 of 1979 shall apply to such appeal.
Provided however, notwithstanding anything to the contrary in section 323 of the Criminal Procedure Code Act, No. 15 of 1979 such order under section 2 shall not be stayed by reason of such appeal, unless the High Court directs otherwise for reasons to be recorded
Provided further that the Magistrate in forwarding the record to the High Court shall retain a copy of his order for purposes of enforcement.
(2) Any person dissatisfied with an order made by a High Court in the exercise of its appellate jurisdiction under this section, may prefer an appeal there from to the Supreme Court, on a question of law, with the leave of the High Court, and where such leave is refused, with the special leave of the Supreme Court, first had an obtained.",Maintenance,"The law provides a mechanism for appealing orders made by a Magistrate under sections 2 or 11. Dissatisfied individuals can appeal to the relevant High Court, treating the order as if it were a final order in a criminal case. The appeal process follows the procedures outlined in sections 320 to 330 and sections 357 and 358 of the Code of Criminal Procedure Act, No. 15 of 1979. Importantly, the law specifies that an order under section 2 shall not be automatically stayed pending appeal unless the High Court directs otherwise, with reasons recorded.
Furthermore, if a person remains dissatisfied with the High Court's order, they have the option to appeal to the Supreme Court on a question of law. The appeal to the Supreme Court requires leave from the High Court, and if leave is refused, special leave from the Supreme Court must be obtained. The Magistrate, when forwarding the record to the High Court, retains a copy of the order for enforcement purposes.",,,,,,,,,,,,,,,,,,,,,,
15,"The forms specified in the Schedule to Maintenance Act, with such variations as the circumstances of any case may require, shall be used for the respective purposes therein mentioned.",Maintenance,"The law mandates the use of forms specified in the Schedule to this Act for their respective purposes, with necessary variations to accommodate the circumstances of individual cases.",,,,,,,,,,,,,,,,,,,,,,
16,"When disposing of any application or appeal under Maintenance Act, a court may order either party to pay all or any part of the costs of such application or the costs of such application and appeal, as the case may be, and the amount due under any such order shall be recoverable as if it were a fine and in default of payment, simple imprisonment may be imposed for period not exceeding one month.",Maintenance,"When dealing with any application or appeal under the law, a court has the authority to order either party to bear the costs, either in full or in part, of the application or both the application and appeal, as applicable. The amount specified in such an order is recoverable in a manner similar to fines. In case of non-payment, the court may impose simple imprisonment for a period not exceeding one month.",,,,,,,,,,,,,,,,,,,,,,
17,"Nothing in Maintenance Act shall be construed as depriving a person including a child, adult offspring, disabled offspring, spouse or parent of the right, if any, to maintain a civil action for maintenance.",Maintenance,"The law does not strip any individual, including a child, adult offspring, disabled offspring, spouse, or parent, of the right to pursue a civil action for maintenance.",,,,,,,,,,,,,,,,,,,,,,
18,The Married Women Property Ordinance is hereby amended by the repeal of section 26 and section 27 of that Ordinance.,Maintenance,The amendment repeals section 26 and section 27 of the Married Women Property Ordinance.,,,,,,,,,,,,,,,,,,,,,,
19,"The Maintenance Ordinance is hereby repealed.
(1) Notwithstanding the repeal of the Maintenance Ordinance:
(a) all proceedings instituted under that Ordinance and
(b) all appeals from orders made under that ordinance, and pending on the day preceding the date of commencement of Maintenance Act, shall be heard and disposed of, in all respects, as though such Ordinance had not been repealed.
(2) Every order made under the Maintenance Ordinance and pending on the day preceding the date of commencement of Maintenance Act, shall be deemed to be an order made under this Act and may be enforced accordingly.",Maintenance,"The Maintenance Ordinance is repealed. Despite the repeal:
Ongoing proceedings and appeals initiated under the Maintenance Ordinance before the commencement of this Act will be concluded as if the ordinance had not been repealed.
Orders made under the Maintenance Ordinance, pending on the day preceding the Act's commencement, are deemed orders under this Act and can be enforced accordingly.",,,,,,,,,,,,,,,,,,,,,,
20,"In the event of any inconsistency between the Sinhala and Tamil texts of Maintenance Act, the Sinhala text shall prevail (Maintenance Act)",Maintenance,"In case of any discrepancy between the Sinhala and Tamil versions of the maintainance act, the Sinhala text takes precedence.",,,,,,,,,,,,,,,,,,,,,,
21,"In Criminal Law, unless the context otherwise requires ""adopted"" when used in relation to a child or offspring means a child or offspring adopted under the provisions of the Adoption of Children Ordinance or the Kandyan Law Declaration and Amendment Ordinance ""adult offspring"" means any marital or non-marital or adopted offspring, who is eighteen years of age or is over eighteen years of age and under twenty five years of age ""child"" means any marital or nonmarital or adopted offspring, who has not reached eighteen years of age ""disabled offspring"" means any marital or non-marital or adopted offspring of whatever age, who is or become physically or mentally disabled so as to render such offspring incapable of earning a livelihood or of adequately supporting himself or herself ""marital"" when used in relation to a child or offspring means a child or offspring born to parents who are not married ""non-marital"" when used in relation to a child or offspring means a child or offspring born to parents who are not married ""parent"" includes an adoptive parent ""salary"" includes all allowances and wages.",Criminal Law,"The law defines key terms used within its context:
""Adopted"" pertains to a child adopted under specific ordinances.
""Adult offspring"" refers to a marital, non-marital, or adopted child aged eighteen to twenty-five.
""Child"" denotes a marital, non-marital, or adopted offspring below eighteen.
""Disabled offspring"" refers to a marital, non-marital, or adopted offspring with physical or mental incapacity hindering self-sustainability.
""Marital"" describes a child born to unmarried parents.
""Non-marital"" describes a child born to unmarried parents.
""Parent"" includes adoptive parents.
""Salary"" encompasses all allowances and wages.",,,,,,,,,,,,,,,,,,,,,,
22,"(1) Right of a victim of crime to a fair treatment
A victim of crime shall have the right:
(a) to be treated with equality and with fairness and respect to the dignity and privacy of such victim of crime
(b) to receive prompt, adequate and fair redress including reparation and restitution which is commensurate with any injury, damage or loss suffered as a victim of crime
(c) to be protected from any injury or potential injury, including threats, intimidation, reprisal or retaliation
(d) to be treated for any physical, psychological, emotional or mental harm, including impairment or disability, suffered as a victim of crime
(e) where such victim of crime is a child, to be treated in a manner that ensures the best interest of such child
(f) where such victim of crime is a female who has to be medically examined, to make a request to be so examined, by a female medical professional and
(g) where the offense is of sexual nature, to specify the gender of the officer who is to carry out the investigation or inquiry into the offense.",Criminal Law,"The rights of a victim of crime, including the right to fair treatment, prompt and adequate redress, protection from harm, treatment for physical and psychological harm, consideration of the best interests of child victims, and specific considerations for female victims in medical examinations and gender-specific aspects of investigations for offenses of a sexual nature.",,,,,,,,,,,,,,,,,,,,,,
23,"Whenever a victim of crime, in exercising the right where such victim of crime is a female who has to be medically examined, to make a request to be so examined, by a female medical professional and where the offense is of sexual nature, to specify the gender of the officer who is to carry out the investigation or inquiry into the offence., makes a request to be examined by a female medical professional or specifies the gender of the officer who is to carry out the investigation or inquiry, as the case may be, it shall be the duty of the State to make all endeavors to ensure that such medical examination or investigation or inquiry is carried out by a medical professional or investigation or inquiring officer, as the case may be, of the gender requested or specified by the victim of crime.",Criminal Law,"It's mandatory that when a victim of a crime, particularly a female victim, requests a medical examination or specifies the gender of the officer conducting an investigation for offenses of a sexual nature, the State is obligated to make all possible efforts to ensure that the examination or investigation is carried out by a medical professional or officer of the gender requested or specified by the victim of the crime.",,,,,,,,,,,,,,,,,,,,,,
24,"Right of a victim of crime to receive information on assistance, protection and remedies available to him
A victim of crime shall have the right, upon a request made by such victim of crime, to be informed
(a) by the Authority or the Protection Division or any law enforcement authority:
(i) of the measures of protection available to such victim of crime under Criminal Law
(ii) of the legal remedies including delictual remedies available for the redress of any injury which such victim of crime has suffered and
(iii) of the time periods within which legal action shall be instituted to obtain legal remedies and
(b) by the Authority or the Protection Division, of the medical services, social services and other assistance available for the treatment of any harm caused to such victims of crime and the availability of any facilities to assist such victims of crime.",Criminal Law,"Victim of crime has the right to be informed, upon request, about various aspects, including:
(a) Information from relevant authorities on:
(i) Protective measures available under this Act,
(ii) Legal remedies, including delictual remedies, for addressing any injuries suffered, along with the time frames for initiating legal action.
(b) Information from the Authority or Protection Division about:
Available medical services, social services, and other assistance for treating harm caused to victims of crime.
Facilities that are accessible to aid victims of crime.",,,,,,,,,,,,,,,,,,,,,,
25,"Right of a victim of crime in relation to complaints, inquiries, investigations
A victim of crime shall have the right:
(a) to make a complaint or to cause a complaint to be made in relation to any conduct constituting an offense under Criminal Law in the manner provided for in this Act and to have such complaint recorded and investigated according to law
(b) without prejudice to any ongoing investigation or inquiry, to make representations to the investigation authority or inquiring authority in person or through an attorney-at-law and receive a response within a reasonable period of time
(c) without prejudice to the prosecution and in accordance with the provisions of Criminal Law, to be represented by an attorney-at-law at any stage of any proceedings before a court or Commission
(d) to make a request, if necessary, for legal aid to be provided by the State
(e) upon conviction of the offender and prior to the determination of the sentence, to submit to the court or Commission a victim impact statement in accordance with section 8, either personally or through an attorney-at-law
(f) in the event of any person in authority considering the grant of a pardon or remission of sentence imposed on any person convicted of an offense, to receive notice thereof and submit through the Authority to the person granting such pardon or remission, the manner in which the offense committed has impacted on such victim of crime physically, emotionally, psychologically, financially, professionally or in any other manner
(g) at any stage of the investigation, inquiry or proceeding, to make representations to the Attorney-General, through an attorney-at-law or in writing by such victim of crime or any person authorized by such victim of crime, as regards the manner in which the offense has impacted on him
(h) to receive from the Authority any relevant information and assistance that facilitates the attendance and participation at any proceedings before a court or Commission relating to the offense alleged to have been committed and to be present at any civil or criminal judicial or quasi-judicial proceedings relating to an offense, including at the non-summary inquiries, trials,appeals and any applications in revision, unless the court, Commission or other tribunal determines,for reasons to be recorded, that future evidence of such victim of crime would be materially affected if he hears other evidence at such proceedings or,the due discharge of justice could be secured only by the exclusion of such victim of crime from being present during the hearing of certain parts of such proceedings.",Criminal Law,"The rights of a victim of crime concerning complaints, inquiries, and investigations. The victim has the right to:
(a) Lodge a complaint and ensure its proper recording and investigation.
(b) Make representations to the investigation or inquiring authority and receive a timely response.
(c) Be represented by an attorney-at-law during proceedings.
(d) Request legal aid from the State if necessary.
(e) Submit a victim impact statement to the court or Commission after the offender's conviction.
(f) Provide input on any pardon or remission of sentence considerations.
(g) Make representations to the Attorney-General at any stage of the investigation or proceeding.
(h) Receive relevant information and assistance from the Authority for attending and participating in legal proceedings related to the alleged offense, with the right to be present at various stages, unless excluded for specific reasons determined by the court or Commission.",,,,,,,,,,,,,,,,,,,,,,
26,"A victim of crime shall have the right, upon a request made by such victim of crime, to be informed:
(a) by the officer-in-charge of the relevant police station or other authority conducting the investigation or inquiry into the alleged
offense, of the progress of the investigation or inquiry: Provided however, the release of such information may be withheld for justifiable reasons
(b) by the officer-in-charge of the relevant police station, other authority conducting the investigation or inquiry into the alleged offense, the Attorney-General, or the Registrar of the relevant court, as the case may be, of the dates fixed for the hearing of the case or the progress or disposal of judicial proceedings relating to the alleged offense and the rights and entitlements of the victim of crime pertaining to such judicial proceedings
(c) by the officer-in-charge of the relevant police station, other authority conducting an investigation or inquiry into the alleged offense, the Attorney-General, the Registrar of the relevant court, or the Superintendent of Prisons, as the case may be, of the date on which the proceedings in relation to any of the following are scheduled next:
(i) release on bail or discharge of the suspect
(ii) institution of criminal proceedings against the accused
(iii) the conviction, acquittal, discharge, or sentence of the suspect or the accused, as the case may be or
(iv) the release from prison of the suspect or convicted person.",Criminal Law,"A victim of crime the right to be informed upon request. The victim has the right to receive information regarding:
(a) The progress of the investigation or inquiry into the alleged offense by the relevant authorities, with exceptions for justifiable reasons.
(b) Dates fixed for the hearing of the case, progress, or disposal of judicial proceedings, along with the rights and entitlements of the victim of crime related to such proceedings.
(c) Dates scheduled for proceedings such as release on bail, discharge of the suspect, institution of criminal proceedings, conviction, acquittal, discharge, or sentence of the suspect or accused, and the release from prison of the suspect or convicted person.


",,,,,,,,,,,,,,,,,,,,,,
27,"(a) A victim of crime may make a request to the Registrar of court in the prescribed form accompanied by the prescribed fee to obtain a copy of the order of court relating to the release on bail or otherwise of the suspect or the accused.
(b) Upon receipt of a request under paragraph (a), the Registrar of Court shall proceed with such a request in an expeditious manner.",Criminal Law,"A victim of crime has the right to request a copy of the court order related to the release on bail or other decisions concerning the suspect or accused. To do so, the victim must submit a request in the prescribed form along with the prescribed fee to the Registrar of the court. Upon receiving such a request, the Registrar of Court is obligated to process it promptly.",,,,,,,,,,,,,,,,,,,,,,
28,"In the event the person in authority considering the' grant of a pardon or remission of sentence referred to in below is the President, the duty of informing the Authority of such fact for the purpose of giving notice thereof to the victim of crime shall be on the Secretary to the President, and in the event such person in authority is the Governor of a Province, such duty shall be on the Secretary to the Governor of such Province.
In the event of any person in authority considering the grant of a pardon or remission of sentence imposed on any person convicted of an offense, to receive notice thereof and submit through the Authority to the person granting such pardon or remission, the manner in which the offense committed has impacted on such victim of crime physically, emotionally, psychologically, financially, professionally or in any other manner",Criminal Law,"When the person in authority considering the grant of a pardon or remission of sentence is the President, the duty to inform the Authority and provide notice to the victim of crime lies with the Secretary to the President. If the person in authority is the Governor of a Province, this duty falls on the Secretary to the Governor of that Province. This obligation is part of the process where the impact of the offense on the victim is communicated to the authority considering clemency.",,,,,,,,,,,,,,,,,,,,,,
